spsa 	iter: 37870, A: 10000, alpha: 0.602, gamma: 0.101
param 	value 	start 	min 	max 	c 	c_end 	r 	r_end
a1 	114.14 	112 	1 	224 	12.299 	11.150 	2.71e-03 	2.00e-03
a2 	26.25 	26 	1 	52 	2.813 	2.550 	2.71e-03 	2.00e-03
a3 	6520.94 	6922 	1 	13844 	763.471 	692.150 	2.71e-03 	2.00e-03
a4 	3217.34 	3837 	1 	7674 	423.182 	383.650 	2.71e-03 	2.00e-03
a5 	6586.14 	6238 	1 	12476 	688.023 	623.750 	2.71e-03 	2.00e-03
a6 	8373.95 	7490 	1 	14980 	826.124 	748.950 	2.71e-03 	2.00e-03
a7 	6429.18 	6270 	1 	12540 	691.552 	626.950 	2.71e-03 	2.00e-03
a8 	152.78 	154 	1 	308 	16.932 	15.350 	2.71e-03 	2.00e-03
a9 	95.25 	102 	1 	204 	11.196 	10.150 	2.71e-03 	2.00e-03
a10 	1756.45 	1661 	1 	3322 	183.160 	166.050 	2.71e-03 	2.00e-03
a11 	839.39 	831 	1 	1662 	91.608 	83.050 	2.71e-03 	2.00e-03
a12 	272.15 	269 	1 	538 	29.617 	26.850 	2.71e-03 	2.00e-03
a13 	2615.03 	2666 	1 	5332 	294.016 	266.550 	2.71e-03 	2.00e-03
a14 	93.88 	97 	1 	194 	10.644 	9.650 	2.71e-03 	2.00e-03
a15 	4.78 	5 	1 	10 	0.496 	0.450 	2.71e-03 	2.00e-03
a16 	11856.54 	12991 	1 	25982 	1432.907 	1299.050 	2.71e-03 	2.00e-03
a17 	131.51 	141 	1 	282 	15.498 	14.050 	2.71e-03 	2.00e-03
a18 	80.36 	83 	1 	166 	9.100 	8.250 	2.71e-03 	2.00e-03
a19 	56.18 	63 	1 	126 	6.894 	6.250 	2.71e-03 	2.00e-03
a20 	114.32 	108 	1 	216 	11.858 	10.750 	2.71e-03 	2.00e-03
a21 	670.56 	631 	1 	1262 	69.547 	63.050 	2.71e-03 	2.00e-03
a22 	1184.13 	1210 	1 	2420 	133.413 	120.950 	2.71e-03 	2.00e-03
a23 	483.54 	479 	1 	958 	52.781 	47.850 	2.71e-03 	2.00e-03
a24 	1978.32 	2143 	1 	4286 	236.327 	214.250 	2.71e-03 	2.00e-03
a26 	809.55 	746 	1 	1492 	82.232 	74.550 	2.71e-03 	2.00e-03
a27 	1008.26 	1042 	1 	2084 	114.882 	104.150 	2.71e-03 	2.00e-03
a28 	9.23 	10 	1 	20 	1.048 	0.950 	2.71e-03 	2.00e-03
a29 	1824.85 	1881 	1 	3762 	207.427 	188.050 	2.71e-03 	2.00e-03
a30 	1485.66 	1413 	1 	2826 	155.805 	141.250 	2.71e-03 	2.00e-03
a31 	604.18 	616 	1 	1232 	67.892 	61.550 	2.71e-03 	2.00e-03
a32 	1095.61 	1151 	1 	2302 	126.905 	115.050 	2.71e-03 	2.00e-03
a33 	1191.29 	1107 	1 	2214 	122.052 	110.650 	2.71e-03 	2.00e-03
a34 	443.23 	462 	1 	924 	50.905 	46.150 	2.71e-03 	2.00e-03
a35 	296.30 	297 	1 	594 	32.705 	29.650 	2.71e-03 	2.00e-03
a36 	14.54 	14 	1 	28 	1.489 	1.350 	2.71e-03 	2.00e-03
a37 	306.05 	310 	1 	620 	34.139 	30.950 	2.71e-03 	2.00e-03
a38 	99.39 	97 	1 	194 	10.644 	9.650 	2.71e-03 	2.00e-03
